id,title,version,entered-date,description,summary,changes,keywords,author,maintained-by,primary-site,alternate-site,original-site,wiki-site,platforms,copying-policy,group,crc,md5,sha,versions,,,
4dos,4DOS,8.00,2008-11-07,"4DOS, iületim sisteminizle beraber gelen komut yorumcusunun yerine geáer. (4DOS, DOS iáin COMMAND.COM'un yerine geáer)",,,"command.com, kabuk, etkileüimli",JP Software,K. Meinhard <K_Meinhard@gmx.de>,http://www.4dos.info,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/user/4dos/,http://www.jpsoft.com/download.htm,,DOS,Modified W3C License,util,,00c9c41834a88f55d218049188813492,2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836,,,,
7zdec,7zdec,17.00 beta,2017-11-13,.7z dosyalarç iáin arüiv aáçcç,"7-Zip arüivleri iáin kÅáÅk, baßçmsçz aáçcç (ANSI C kaynak kodu ile)",,"7z, 7zdec, 7zdecode, arüiv araálarç",Igor Pavlov,Igor Pavlov,http://www.sourceforge.net/projects/sevenzip,,http://www.7-zip.org,,"DOS, Windows, *nix",public domain,archiver,,d88d01909e50a130476896ef6e671f1e,39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4,,,,
adplay,AdPlay,1.6a,2015-06-23,OPL2/3 ses kullanarak áoklu biáimde mÅzik áalçcç ,,,"adplay,adplug",Simon Peter,Simon Peter,,,http://adplug.sourceforge.net/,,DOS,zlib/libpng License,sound,,2e4df1bdaf4b5521ec23a4ae4101ebe4,4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366,,,,
ansimat,ANSiMat,0.93,2012-09-25,"ANSiMat, ANSI dosyalarç iáin grafik bir gîrÅntÅleyicidir. ANSI dosyalarçnç alçüçlagelmiü (BMP/PCX/PPM/TGA/TIF) grafik dosyalarçna veya FLC (FLiC) canlandçrmalarçna dînÅütÅrmek iáin de kullançlabilir.",,,"ansi, gîrÅntÅleyici",Mateusz Viste,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/ansimat.html,,,,DOS,"GNU General Public License, Version 3",util,,b4212ec17a8e0789cafcd9f7223d758f,eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0,,,,
append,APPEND,5.0-0.6,2006-01-23,"APPEND, programlarçn belirtilen dizinlerdeki veri dosyalarçnç gÅncel dizindeymiü gibi aámalarçna imkÉn verir.",,,"freedos, ekle, data, dosyalar, dizinler",Eduardo Casino-Almao <mail@eduardocasino.es>,Eduardo Casino-Almao <mail@eduardocasino.es>,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/append/,,https://www.eduardocasino.es/code/append/,http://wiki.freedos.org/wiki/index.php/Append,DOS (nasm),"GNU General Public License, Version 2",base,,cf763320c0fa3bd2c450f8c8ac2fcc63,e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197,,,,
arachne,Arachne,1.97,2017-07-31,Bir DOS ònternet tarayçcçsç (8086 ve i386 sÅrÅmleri),,,"aß, www, tarayçcç",Michael Polak and Others,Michael Polak,http://www.glennmcc.org,,,,DOS,"GNU General Public License, Version 2",net,,031fc9f686fd4c30b77fa2f19ccd855f,b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5,,,,
arj,ARJ,2.78,2007-11-30,Aáçk kaynaklç ARJ arüiv yîneticisi.,,,,,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/arj.html,http://www.freedos.org,,,DOS,GNU General Public License,archiver,,03e13e329bd914de6cd1805a041a2be1,932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709,,,,
assign,assign,1.4,1999-12-12,Farklç bir sÅrÅcÅye sÅrÅcÅ harfi ata,,,"freedos, assign",Steffen.Kaiser@fh-rhein-sieg.de,Steffen.Kaiser@fh-rhein-sieg.de,http://www2.inf.fh-rhein-sieg.de/~skaise2a/ska/sources.html,,http://www2.inf.fh-rhein-sieg.de/~skaise2a/ska/sources.html,http://wiki.freedos.org/wiki/index.php/Assign,dos,"GNU General Public License, Version 2",base,,12e0685221dcaa24d7b8d490a1972f9d,be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a,,,,
attrib,attrib,2.1,2003-07-01,Dosya îzelliklerini gîrÅntÅle ve ayarla,,,"freedos, attrib",pbrutsch@creighton.edu (Phil Brutsche),reifsnyderb@mindspring.com (Brian E. Reifsnyder),http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/attrib.html,,,http://wiki.freedos.org/wiki/index.php/Attrib,dos,"GNU General Public License, Version 2",base,,59d347759ac59f3ea94214715e966129,e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9,,,,
b64,b64,0.06R,2013-02-01,RFC1113 tarafçndan tançmlanan Base64 òáerik-Aktarçm-Kodlamasç standardçnç uygulayan yardçmcç program.,,,"b64,base64",Bob Trower,,,,http://base64.sourceforge.net,,DOS,MIT license,util,,de79dfcaeeaec7df5f2a05ef722f9ccc,a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24,,,,
